unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year,is_annual_total,source_pdf
Mymensingh Range,1.0,2,21,3,0.0,122,0,4,4,31,457,4,0,436,10,450,1095.0,March,2020,False,crime-statistics-2020.pdf
Chittagong Range,8.0,9,62,11,0.0,230,5,11,32,65,953,53,0,976,14,1043,2429.0,March,2020,False,crime-statistics-2020.pdf
Sylhet Range,2.0,3,26,1,0.0,88,3,5,10,35,338,6,0,167,17,190,701.0,March,2020,False,crime-statistics-2020.pdf
Khulna Range,4.0,12,32,3,0.0,195,4,1,17,57,651,23,1,616,23,663,1639.0,March,2020,False,crime-statistics-2020.pdf
Barishal Range,1.0,4,7,5,0.0,110,2,1,13,21,476,0,0,327,1,328,968.0,March,2020,False,crime-statistics-2020.pdf
Rajshahi Range,0.0,3,21,9,0.0,220,1,5,7,34,566,18,1,1441,94,1554,2420.0,March,2020,False,crime-statistics-2020.pdf
Rangpur Range,1.0,1,22,1,0.0,194,1,1,9,62,644,2,0,457,65,524,1460.0,March,2020,False,crime-statistics-2020.pdf
Railway Range,0.0,2,3,0,0.0,0,0,0,1,6,11,0,0,20,5,25,48.0,March,2020,False,crime-statistics-2020.pdf
Total,26.0,78,279,72,2.0,1803,39,43,195,560,5995,161,3,7623,271,8058,17150.0,March,2020,False,crime-statistics-2020.pdf
DMP,1.0,5,8,6,0.0,47,0,1,21,22,118,2,0,120,0,122,351.0,April,2020,False,crime-statistics-2020.pdf
CMP,0.0,4,9,3,0.0,16,0,1,4,10,51,16,0,51,1,68,166.0,April,2020,False,crime-statistics-2020.pdf
KMP,0.0,1,0,0,0.0,1,0,1,1,1,9,0,0,7,0,7,21.0,April,2020,False,crime-statistics-2020.pdf
RMP,0.0,1,1,0,0.0,11,0,1,3,3,44,0,0,51,5,56,120.0,April,2020,False,crime-statistics-2020.pdf
BMP,0.0,0,3,1,0.0,4,0,0,1,3,37,0,0,26,0,26,75.0,April,2020,False,crime-statistics-2020.pdf
SMP,0.0,0,1,2,0.0,11,0,1,4,6,49,0,0,10,0,10,84.0,April,2020,False,crime-statistics-2020.pdf
RPMP,0.0,1,1,0,0.0,6,0,0,0,3,35,0,0,10,0,10,56.0,April,2020,False,crime-statistics-2020.pdf
GMP,0.0,1,3,1,0.0,11,0,0,2,7,68,1,0,22,1,24,117.0,April,2020,False,crime-statistics-2020.pdf
Dhaka Range,5.0,7,51,4,0.0,128,2,11,11,40,786,8,2,190,3,203,1248.0,April,2020,False,crime-statistics-2020.pdf
Mymensingh Range,0.0,1,25,1,0.0,58,2,4,1,27,666,1,0,38,2,41,826.0,April,2020,False,crime-statistics-2020.pdf
Chittagong Range,2.0,5,55,7,0.0,108,1,9,17,37,936,24,1,321,0,346,1523.0,April,2020,False,crime-statistics-2020.pdf
Sylhet Range,2.0,0,13,0,0.0,38,0,4,2,31,336,1,0,56,2,59,485.0,April,2020,False,crime-statistics-2020.pdf
Khulna Range,0.0,2,29,3,0.0,127,1,3,9,41,633,10,0,242,7,259,1107.0,April,2020,False,crime-statistics-2020.pdf
Barishal Range,0.0,0,16,4,0.0,95,1,3,11,8,537,0,2,68,0,70,745.0,April,2020,False,crime-statistics-2020.pdf
