unit_name,dacoity,robbery,murder,speedy_trial,riot,woman_child_repression,kidnapping,police_assault,burglary,theft,other_cases,r_arms_act,r_explosive_act,r_narcotics,r_smuggling,total_recovery_cases,total_cases,month,year,is_annual_total,source_pdf
KMP,0.0,0,1,0,0.0,39,1,0,1,8,34,4,0,92,0,96,180.0,September,2023,False,crime-statistics-2023.pdf
RMP,0.0,3,2,0,0.0,12,1,0,6,14,45,2,2,77,0,81,164.0,September,2023,False,crime-statistics-2023.pdf
BMP,0.0,1,0,3,0.0,15,0,1,7,7,41,0,1,94,0,95,170.0,September,2023,False,crime-statistics-2023.pdf
SMP,2.0,1,2,12,0.0,17,1,4,3,17,58,0,0,41,15,56,173.0,September,2023,False,crime-statistics-2023.pdf
RPMP,0.0,0,1,0,0.0,10,0,0,0,9,37,0,0,42,1,43,100.0,September,2023,False,crime-statistics-2023.pdf
GMP,0.0,3,11,0,0.0,27,5,3,3,9,72,1,0,103,1,105,238.0,September,2023,False,crime-statistics-2023.pdf
Dhaka Range,12.0,19,54,26,0.0,275,8,8,39,112,975,7,8,1016,8,1039,2567.0,September,2023,False,crime-statistics-2023.pdf
Mymensingh Range,0.0,3,15,2,0.0,189,4,1,8,38,497,1,19,260,46,326,1083.0,September,2023,False,crime-statistics-2023.pdf
Chittagong Range,3.0,15,52,6,0.0,185,9,7,30,107,845,49,2,1007,40,1098,2357.0,September,2023,False,crime-statistics-2023.pdf
Sylhet Range,1.0,5,14,3,0.0,62,0,4,6,42,290,1,0,139,96,236,663.0,September,2023,False,crime-statistics-2023.pdf
Khulna Range,1.0,4,15,6,0.0,154,3,5,13,86,561,11,4,806,16,837,1685.0,September,2023,False,crime-statistics-2023.pdf
Barishal Range,1.0,3,12,5,0.0,130,1,1,15,23,338,4,2,196,2,204,733.0,September,2023,False,crime-statistics-2023.pdf
Rajshahi Range,1.0,12,23,14,0.0,214,6,2,12,93,683,42,3,1035,53,1133,2193.0,September,2023,False,crime-statistics-2023.pdf
Rangpur Range,0.0,3,16,2,0.0,194,4,5,19,81,723,3,0,453,9,465,1512.0,September,2023,False,crime-statistics-2023.pdf
Railway Range,0.0,2,2,0,0.0,2,0,1,0,23,4,0,0,20,0,20,54.0,September,2023,False,crime-statistics-2023.pdf
Total,21.0,106,238,99,2.0,1699,50,48,230,830,5970,132,46,6721,307,7206,16499.0,September,2023,False,crime-statistics-2023.pdf
DMP,3.0,20,19,8,7.0,128,6,11,38,136,682,6,17,844,13,880,1938.0,October,2023,False,crime-statistics-2023.pdf
CMP,0.0,2,1,3,0.0,41,2,2,14,29,124,3,1,207,1,212,430.0,October,2023,False,crime-statistics-2023.pdf
KMP,0.0,1,2,2,0.0,30,0,0,5,8,48,5,0,137,0,142,238.0,October,2023,False,crime-statistics-2023.pdf
RMP,0.0,3,4,0,0.0,14,4,2,3,15,53,4,6,123,1,134,232.0,October,2023,False,crime-statistics-2023.pdf
BMP,0.0,0,0,1,0.0,16,0,0,2,6,59,1,0,71,0,72,156.0,October,2023,False,crime-statistics-2023.pdf
SMP,0.0,0,1,7,1.0,22,0,3,6,20,64,0,0,30,8,38,162.0,October,2023,False,crime-statistics-2023.pdf
RPMP,0.0,0,2,0,0.0,13,0,0,0,14,48,2,0,52,0,54,131.0,October,2023,False,crime-statistics-2023.pdf
GMP,1.0,2,9,2,0.0,26,5,2,3,13,85,0,0,118,2,120,268.0,October,2023,False,crime-statistics-2023.pdf
Dhaka Range,7.0,28,54,19,0.0,221,5,12,47,113,1012,9,34,812,0,855,2373.0,October,2023,False,crime-statistics-2023.pdf
Mymensingh Range,0.0,1,19,3,0.0,197,3,0,13,49,408,0,12,211,45,268,961.0,October,2023,False,crime-statistics-2023.pdf
Chittagong Range,1.0,23,50,1,2.0,160,10,27,44,114,993,47,18,882,29,976,2401.0,October,2023,False,crime-statistics-2023.pdf
Sylhet Range,1.0,2,10,5,0.0,55,1,8,5,60,317,0,1,98,71,170,634.0,October,2023,False,crime-statistics-2023.pdf
Khulna Range,2.0,3,22,3,0.0,150,5,0,9,82,615,9,13,668,15,705,1596.0,October,2023,False,crime-statistics-2023.pdf
Barishal Range,5.0,2,10,4,0.0,131,1,2,11,22,493,2,7,187,0,196,877.0,October,2023,False,crime-statistics-2023.pdf
Rajshahi Range,2.0,13,34,3,0.0,202,3,3,11,90,657,38,44,989,34,1105,2123.0,October,2023,False,crime-statistics-2023.pdf
Rangpur Range,0.0,3,20,4,0.0,214,3,5,13,73,636,2,3,434,5,444,1415.0,October,2023,False,crime-statistics-2023.pdf
Railway Range,0.0,3,1,0,2.0,1,0,0,0,24,6,1,0,16,0,17,54.0,October,2023,False,crime-statistics-2023.pdf
Total,22.0,106,258,65,12.0,1621,48,77,224,868,6300,129,156,5879,224,6388,15989.0,October,2023,False,crime-statistics-2023.pdf
DMP,2.0,14,17,19,5.0,118,2,5,56,121,555,2,26,661,11,700,1614.0,November,2023,False,crime-statistics-2023.pdf
CMP,0.0,2,6,3,0.0,42,3,3,8,29,122,2,1,177,0,180,398.0,November,2023,False,crime-statistics-2023.pdf
KMP,0.0,1,1,0,0.0,10,1,1,3,17,37,0,0,93,0,93,164.0,November,2023,False,crime-statistics-2023.pdf
RMP,0.0,2,1,0,1.0,13,0,8,7,11,55,4,16,94,1,115,213.0,November,2023,False,crime-statistics-2023.pdf
BMP,0.0,1,1,1,1.0,19,0,0,1,2,43,0,1,58,0,59,128.0,November,2023,False,crime-statistics-2023.pdf
SMP,0.0,2,2,4,0.0,16,0,6,3,15,71,0,8,28,5,41,160.0,November,2023,False,crime-statistics-2023.pdf
RPMP,0.0,0,0,1,0.0,9,2,0,0,10,47,0,0,33,0,33,102.0,November,2023,False,crime-statistics-2023.pdf
GMP,0.0,2,4,0,0.0,22,2,5,4,10,75,0,10,58,0,68,192.0,November,2023,False,crime-statistics-2023.pdf
Dhaka Range,14.0,19,51,26,0.0,258,10,15,34,93,922,8,23,666,6,703,2145.0,November,2023,False,crime-statistics-2023.pdf
Mymensingh Range,0.0,2,10,3,0.0,144,3,1,10,37,408,3,8,164,28,203,821.0,November,2023,False,crime-statistics-2023.pdf
Chittagong Range,3.0,14,54,7,0.0,125,8,17,34,84,821,50,41,707,25,823,1990.0,November,2023,False,crime-statistics-2023.pdf
Sylhet Range,2.0,3,6,3,0.0,51,0,3,2,44,290,1,6,90,45,142,546.0,November,2023,False,crime-statistics-2023.pdf
Khulna Range,0.0,6,16,6,0.0,113,1,1,14,51,540,10,21,529,18,578,1326.0,November,2023,False,crime-statistics-2023.pdf
Barishal Range,2.0,1,9,5,0.0,119,0,1,14,11,338,6,20,163,0,189,689.0,November,2023,False,crime-statistics-2023.pdf
Rajshahi Range,2.0,5,26,10,0.0,178,1,7,4,57,597,21,51,793,28,893,1780.0,November,2023,False,crime-statistics-2023.pdf
Rangpur Range,0.0,3,22,1,0.0,189,0,6,11,55,675,1,3,376,10,390,1352.0,November,2023,False,crime-statistics-2023.pdf
Railway Range,0.0,2,1,0,0.0,0,0,0,0,17,25,2,0,14,0,16,61.0,November,2023,False,crime-statistics-2023.pdf
Total,25.0,79,227,89,7.0,1426,33,79,205,664,5621,110,235,4704,177,5226,13681.0,November,2023,False,crime-statistics-2023.pdf
DMP,4.0,23,4,16,0.0,103,10,5,42,130,584,3,19,951,13,986,1907.0,December,2023,False,crime-statistics-2023.pdf
CMP,0.0,10,7,5,0.0,24,0,2,10,44,109,4,1,248,1,254,465.0,December,2023,False,crime-statistics-2023.pdf
KMP,0.0,0,0,2,0.0,16,0,0,4,11,28,4,0,137,0,141,202.0,December,2023,False,crime-statistics-2023.pdf
RMP,0.0,2,2,1,0.0,14,0,2,2,8,42,2,2,193,1,198,271.0,December,2023,False,crime-statistics-2023.pdf
BMP,0.0,0,1,1,0.0,17,0,0,3,8,32,0,0,42,0,42,104.0,December,2023,False,crime-statistics-2023.pdf
SMP,0.0,0,1,1,0.0,17,0,1,4,15,54,0,0,39,7,46,139.0,December,2023,False,crime-statistics-2023.pdf
RPMP,0.0,0,0,0,0.0,8,0,1,0,4,36,0,2,70,0,72,121.0,December,2023,False,crime-statistics-2023.pdf
GMP,2.0,4,7,3,0.0,37,0,1,8,9,71,0,0,103,0,103,245.0,December,2023,False,crime-statistics-2023.pdf
Dhaka Range,11.0,18,62,17,0.0,196,4,11,37,91,905,7,5,801,4,817,2169.0,December,2023,False,crime-statistics-2023.pdf
Mymensingh Range,0.0,3,20,4,0.0,112,1,0,5,45,369,1,1,163,27,192,751.0,December,2023,False,crime-statistics-2023.pdf
Chittagong Range,6.0,21,53,5,0.0,166,4,5,38,93,778,61,8,873,26,968,2137.0,December,2023,False,crime-statistics-2023.pdf
Sylhet Range,2.0,4,10,0,0.0,42,3,2,4,46,279,1,0,104,26,131,523.0,December,2023,False,crime-statistics-2023.pdf
Khulna Range,0.0,2,11,5,0.0,82,1,2,12,53,534,7,1,597,9,614,1316.0,December,2023,False,crime-statistics-2023.pdf
Barishal Range,1.0,3,9,8,0.0,102,2,1,9,25,345,3,0,186,0,189,694.0,December,2023,False,crime-statistics-2023.pdf
Rajshahi Range,2.0,4,24,6,0.0,143,2,3,8,61,651,22,19,997,22,1060,1964.0,December,2023,False,crime-statistics-2023.pdf
Rangpur Range,2.0,6,22,3,0.0,114,2,1,14,47,783,0,1,415,6,422,1416.0,December,2023,False,crime-statistics-2023.pdf
Railway Range,0.0,5,0,0,0.0,0,0,0,0,12,14,1,1,25,1,28,59.0,December,2023,False,crime-statistics-2023.pdf
Total,30.0,105,233,77,0.0,1193,29,37,200,702,5614,116,60,5944,143,6263,14483.0,December,2023,False,crime-statistics-2023.pdf
DMP,34.0,199,165,189,20.0,1602,61,83,547,1511,7529,58,127,12789,135,13109,25049.0,January-December,2023,True,crime-statistics-2023.pdf
CMP,3.0,105,53,86,0.0,513,32,25,151,407,1607,30,8,2587,36,2661,5643.0,January-December,2023,True,crime-statistics-2023.pdf
KMP,3.0,7,17,9,0.0,296,3,3,55,110,428,22,2,1030,3,1057,1988.0,January-December,2023,True,crime-statistics-2023.pdf
RMP,0.0,39,20,1,1.0,190,17,22,42,120,594,21,57,1395,6,1479,2525.0,January-December,2023,True,crime-statistics-2023.pdf
BMP,4.0,6,16,12,1.0,197,1,2,50,72,543,2,4,833,1,840,1744.0,January-December,2023,True,crime-statistics-2023.pdf
SMP,2.0,11,18,108,1.0,207,3,28,51,182,795,2,9,495,126,632,2038.0,January-December,2023,True,crime-statistics-2023.pdf
RPMP,0.0,0,8,8,0.0,132,4,4,0,121,557,7,2,505,2,516,1350.0,January-December,2023,True,crime-statistics-2023.pdf
GMP,14.0,44,94,16,0.0,319,31,22,36,115,916,8,14,1058,9,1089,2696.0,January-December,2023,True,crime-statistics-2023.pdf
Dhaka Range,130.0,263,670,248,0.0,3291,70,115,429,1350,12369,167,84,11460,48,11759,30694.0,January-December,2023,True,crime-statistics-2023.pdf
Mymensingh Range,1.0,24,196,66,0.0,1798,36,12,78,547,6076,20,98,3182,418,3718,12552.0,January-December,2023,True,crime-statistics-2023.pdf
Chittagong Range,48.0,212,622,71,2.0,2020,91,132,422,1115,11034,521,94,11625,408,12648,28417.0,January-December,2023,True,crime-statistics-2023.pdf
Sylhet Range,12.0,38,186,38,0.0,703,15,38,42,629,4204,11,9,1677,548,2245,8150.0,January-December,2023,True,crime-statistics-2023.pdf
Khulna Range,21.0,67,241,87,1.0,1698,30,23,173,926,7710,113,67,8071,201,8452,19429.0,January-December,2023,True,crime-statistics-2023.pdf
Barishal Range,19.0,28,116,41,0.0,1301,9,27,131,295,4512,32,36,2487,5,2560,9039.0,January-December,2023,True,crime-statistics-2023.pdf
Rajshahi Range,17.0,121,320,93,0.0,2289,31,33,110,952,8376,418,152,12054,444,13068,25410.0,January-December,2023,True,crime-statistics-2023.pdf
Rangpur Range,10.0,35,267,29,0.0,2377,28,37,166,826,9231,13,14,4928,99,5054,18060.0,January-December,2023,True,crime-statistics-2023.pdf
Railway Range,1.0,28,14,2,2.0,8,1,1,0,197,142,16,1,227,12,256,652.0,January-December,2023,True,crime-statistics-2023.pdf
Total,319.0,1227,3023,1104,28.0,18941,463,607,2483,9475,76623,1461,778,76403,2501,81143,195436.0,January-December,2023,True,crime-statistics-2023.pdf
DMP,3.0,10,9,12,0.0,170,5,5,49,112,510,7,7,1640,9,1663,2548.0,January,2022,False,crime-statistics-2022.pdf
CMP,2.0,3,2,13,0.0,53,1,4,9,36,188,13,1,221,0,235,546.0,January,2022,False,crime-statistics-2022.pdf
KMP,0.0,0,2,0,0.0,12,0,0,4,4,32,1,1,101,0,103,157.0,January,2022,False,crime-statistics-2022.pdf
RMP,0.0,9,3,5,0.0,14,1,0,0,9,39,0,1,214,14,229,309.0,January,2022,False,crime-statistics-2022.pdf
BMP,1.0,0,3,1,0.0,9,1,2,6,9,32,2,1,100,0,103,167.0,January,2022,False,crime-statistics-2022.pdf
SMP,0.0,2,0,5,0.0,26,0,1,3,12,72,1,0,84,0,85,206.0,January,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,0,1,0.0,23,1,0,3,13,73,1,0,56,0,57,171.0,January,2022,False,crime-statistics-2022.pdf
GMP,0.0,3,4,2,0.0,28,3,0,1,6,58,1,0,87,0,88,193.0,January,2022,False,crime-statistics-2022.pdf
Dhaka Range,14.0,18,76,16,0.0,209,7,12,40,119,971,24,6,761,4,795,2277.0,January,2022,False,crime-statistics-2022.pdf
Mymensingh Range,0.0,2,16,16,0.0,128,1,4,5,49,496,2,0,252,15,269,986.0,January,2022,False,crime-statistics-2022.pdf
Chittagong Range,5.0,14,50,5,0.0,187,4,7,32,94,802,50,2,1115,24,1191,2391.0,January,2022,False,crime-statistics-2022.pdf
Sylhet Range,1.0,2,15,2,0.0,60,1,1,7,36,312,1,0,137,15,153,590.0,January,2022,False,crime-statistics-2022.pdf
Khulna Range,2.0,10,29,5,0.0,131,3,4,18,64,549,16,3,636,22,677,1492.0,January,2022,False,crime-statistics-2022.pdf
Barishal Range,1.0,3,13,3,0.0,79,1,1,13,29,345,3,1,273,1,278,766.0,January,2022,False,crime-statistics-2022.pdf
Rajshahi Range,0.0,10,21,7,0.0,142,4,10,5,52,592,19,7,1005,66,1097,1940.0,January,2022,False,crime-statistics-2022.pdf
Rangpur Range,1.0,5,20,1,0.0,162,4,2,18,73,590,6,0,332,10,348,1224.0,January,2022,False,crime-statistics-2022.pdf
Railway Range,0.0,0,1,0,0.0,0,2,0,0,12,14,0,0,34,1,35,64.0,January,2022,False,crime-statistics-2022.pdf
Total,30.0,91,264,94,0.0,1433,39,53,213,729,5675,147,30,7048,181,7406,16027.0,January,2022,False,crime-statistics-2022.pdf
DMP,4.0,16,12,14,0.0,141,2,6,49,135,511,12,5,1549,19,1585,2475.0,February,2022,False,crime-statistics-2022.pdf
CMP,2.0,7,4,10,0.0,46,0,1,18,25,177,20,0,167,1,188,478.0,February,2022,False,crime-statistics-2022.pdf
KMP,0.0,1,2,0,0.0,13,0,0,2,5,22,2,0,103,0,105,150.0,February,2022,False,crime-statistics-2022.pdf
RMP,0.0,2,2,0,0.0,13,0,1,4,8,30,0,0,209,8,217,277.0,February,2022,False,crime-statistics-2022.pdf
BMP,0.0,0,1,0,0.0,13,0,0,7,15,32,0,0,82,0,82,150.0,February,2022,False,crime-statistics-2022.pdf
SMP,0.0,2,3,6,0.0,17,0,1,4,6,86,0,0,52,3,55,180.0,February,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,0,0,0.0,8,0,0,0,15,48,0,0,44,0,44,115.0,February,2022,False,crime-statistics-2022.pdf
GMP,6.0,2,1,3,0.0,23,4,0,0,12,57,1,0,84,0,85,193.0,February,2022,False,crime-statistics-2022.pdf
Dhaka Range,15.0,22,56,12,0.0,250,7,10,38,125,910,15,5,861,0,881,2326.0,February,2022,False,crime-statistics-2022.pdf
Mymensingh Range,1.0,1,14,4,0.0,124,4,4,5,42,453,1,0,328,16,345,997.0,February,2022,False,crime-statistics-2022.pdf
Chittagong Range,1.0,9,44,8,0.0,160,5,14,22,80,804,63,3,1136,12,1214,2361.0,February,2022,False,crime-statistics-2022.pdf
Sylhet Range,1.0,2,13,1,0.0,81,1,1,3,37,267,2,1,163,30,196,603.0,February,2022,False,crime-statistics-2022.pdf
Khulna Range,1.0,5,23,5,0.0,120,0,2,13,70,550,12,4,745,14,775,1564.0,February,2022,False,crime-statistics-2022.pdf
Barishal Range,3.0,5,4,5,0.0,95,0,2,11,16,301,0,0,268,0,268,710.0,February,2022,False,crime-statistics-2022.pdf
Rajshahi Range,2.0,6,31,11,0.0,172,0,3,14,64,518,28,2,1107,77,1214,2035.0,February,2022,False,crime-statistics-2022.pdf
Rangpur Range,1.0,3,22,2,0.0,176,2,0,16,60,557,2,0,379,9,390,1229.0,February,2022,False,crime-statistics-2022.pdf
Railway Range,0.0,2,2,0,0.0,2,0,0,0,4,17,0,0,32,0,32,59.0,February,2022,False,crime-statistics-2022.pdf
Total,37.0,85,234,81,0.0,1454,25,45,206,719,5340,158,20,7309,189,7676,15902.0,February,2022,False,crime-statistics-2022.pdf
DMP,1.0,16,17,13,0.0,199,3,12,60,146,680,7,10,1465,17,1499,2646.0,March,2022,False,crime-statistics-2022.pdf
CMP,0.0,3,1,13,0.0,69,1,1,9,29,172,18,1,156,2,177,475.0,March,2022,False,crime-statistics-2022.pdf
KMP,0.0,0,1,0,0.0,12,0,0,2,4,34,1,1,89,1,92,145.0,March,2022,False,crime-statistics-2022.pdf
RMP,0.0,1,1,0,0.0,18,1,1,2,8,48,1,0,261,1,263,343.0,March,2022,False,crime-statistics-2022.pdf
BMP,0.0,0,0,1,0.0,18,1,0,5,10,59,1,0,108,0,109,203.0,March,2022,False,crime-statistics-2022.pdf
SMP,0.0,2,1,5,0.0,31,0,0,4,10,94,1,0,73,5,79,226.0,March,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,2,3,0.0,16,0,0,0,18,64,0,0,38,0,38,141.0,March,2022,False,crime-statistics-2022.pdf
GMP,4.0,1,10,3,0.0,53,1,1,2,15,75,2,0,85,1,88,253.0,March,2022,False,crime-statistics-2022.pdf
Dhaka Range,17.0,25,57,24,0.0,312,8,17,51,160,1105,14,9,834,3,860,2636.0,March,2022,False,crime-statistics-2022.pdf
Mymensingh Range,2.0,6,20,6,0.0,196,5,1,3,56,553,2,0,309,26,337,1185.0,March,2022,False,crime-statistics-2022.pdf
Chittagong Range,6.0,14,37,6,0.0,231,6,7,28,108,904,49,3,1293,29,1374,2721.0,March,2022,False,crime-statistics-2022.pdf
Sylhet Range,1.0,3,15,2,0.0,83,3,2,8,50,353,0,0,261,13,274,794.0,March,2022,False,crime-statistics-2022.pdf
Khulna Range,1.0,5,28,6,0.0,160,1,2,12,67,638,9,4,578,14,605,1525.0,March,2022,False,crime-statistics-2022.pdf
Barishal Range,3.0,6,7,1,0.0,126,1,3,13,29,366,4,0,252,0,256,811.0,March,2022,False,crime-statistics-2022.pdf
Rajshahi Range,0.0,7,28,11,0.0,227,2,8,7,87,608,31,1,1165,72,1269,2254.0,March,2022,False,crime-statistics-2022.pdf
Rangpur Range,0.0,3,21,1,0.0,224,4,1,17,74,621,0,0,428,8,436,1402.0,March,2022,False,crime-statistics-2022.pdf
Railway Range,0.0,2,1,0,0.0,1,0,1,0,17,25,0,0,35,2,37,84.0,March,2022,False,crime-statistics-2022.pdf
Total,35.0,94,247,95,0.0,1976,37,57,223,888,6399,140,29,7430,194,7793,17844.0,March,2022,False,crime-statistics-2022.pdf
DMP,3.0,8,16,13,0.0,184,5,9,68,151,700,9,6,1217,29,1261,2418.0,April,2022,False,crime-statistics-2022.pdf
CMP,0.0,11,4,12,0.0,75,3,3,21,48,199,18,1,175,1,195,571.0,April,2022,False,crime-statistics-2022.pdf
KMP,0.0,0,0,0,0.0,12,0,1,3,3,29,1,0,83,0,84,132.0,April,2022,False,crime-statistics-2022.pdf
RMP,0.0,1,5,0,0.0,15,1,1,2,4,40,1,0,206,0,207,276.0,April,2022,False,crime-statistics-2022.pdf
BMP,1.0,1,2,0,0.0,11,0,4,5,9,38,1,0,92,0,93,164.0,April,2022,False,crime-statistics-2022.pdf
SMP,0.0,0,5,5,0.0,20,0,2,5,15,87,4,0,55,6,65,204.0,April,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,0,0,0.0,24,0,0,1,14,71,0,0,43,0,43,153.0,April,2022,False,crime-statistics-2022.pdf
GMP,1.0,7,2,4,0.0,40,1,1,2,14,86,0,0,70,0,70,228.0,April,2022,False,crime-statistics-2022.pdf
Dhaka Range,11.0,26,56,48,0.0,347,7,10,46,145,1266,15,5,752,2,774,2736.0,April,2022,False,crime-statistics-2022.pdf
Mymensingh Range,1.0,2,17,8,0.0,182,1,2,1,62,750,3,0,308,26,337,1363.0,April,2022,False,crime-statistics-2022.pdf
Chittagong Range,2.0,16,55,9,0.0,181,7,7,26,103,1027,78,1,1212,22,1313,2746.0,April,2022,False,crime-statistics-2022.pdf
Sylhet Range,2.0,6,15,1,0.0,93,1,4,2,39,445,0,1,155,27,183,791.0,April,2022,False,crime-statistics-2022.pdf
Khulna Range,0.0,10,31,4,0.0,154,2,3,11,88,813,11,2,616,12,641,1757.0,April,2022,False,crime-statistics-2022.pdf
Barishal Range,1.0,3,12,0,0.0,106,3,2,13,25,440,2,0,241,3,246,851.0,April,2022,False,crime-statistics-2022.pdf
Rajshahi Range,3.0,11,28,3,0.0,237,1,3,7,83,765,26,4,1057,69,1156,2297.0,April,2022,False,crime-statistics-2022.pdf
Rangpur Range,1.0,2,21,4,0.0,195,3,3,15,71,808,1,0,404,11,416,1539.0,April,2022,False,crime-statistics-2022.pdf
Railway Range,0.0,3,0,0,0.0,0,0,0,0,13,14,0,0,28,3,31,61.0,April,2022,False,crime-statistics-2022.pdf
Total,26.0,107,269,111,0.0,1876,35,55,228,887,7578,170,20,6714,211,7115,18287.0,April,2022,False,crime-statistics-2022.pdf
DMP,0.0,11,11,9,1.0,186,3,8,68,133,626,4,7,1411,10,1432,2488.0,May,2022,False,crime-statistics-2022.pdf
CMP,0.0,9,6,17,0.0,76,3,2,19,28,173,18,1,144,3,166,499.0,May,2022,False,crime-statistics-2022.pdf
KMP,0.0,0,1,0,0.0,21,0,0,2,8,24,1,0,73,1,75,131.0,May,2022,False,crime-statistics-2022.pdf
RMP,0.0,2,3,1,0.0,17,0,0,3,6,54,1,0,247,0,248,334.0,May,2022,False,crime-statistics-2022.pdf
BMP,0.0,1,0,1,0.0,15,0,0,4,7,43,1,0,96,0,97,168.0,May,2022,False,crime-statistics-2022.pdf
SMP,0.0,0,3,2,0.0,26,0,2,4,14,67,0,0,57,2,59,177.0,May,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,0,2,0.0,15,0,0,0,12,57,0,0,42,0,42,128.0,May,2022,False,crime-statistics-2022.pdf
GMP,3.0,1,3,0,0.0,31,3,0,5,15,71,1,0,79,0,80,212.0,May,2022,False,crime-statistics-2022.pdf
Dhaka Range,13.0,24,65,28,0.0,333,9,7,32,102,1167,18,4,855,3,880,2660.0,May,2022,False,crime-statistics-2022.pdf
Mymensingh Range,0.0,4,26,12,0.0,190,3,2,4,31,685,2,0,270,24,296,1253.0,May,2022,False,crime-statistics-2022.pdf
Chittagong Range,4.0,9,41,8,0.0,213,5,10,31,86,1024,61,0,1077,17,1155,2586.0,May,2022,False,crime-statistics-2022.pdf
Sylhet Range,0.0,1,19,1,0.0,83,0,2,5,30,421,0,1,184,21,206,768.0,May,2022,False,crime-statistics-2022.pdf
Khulna Range,1.0,2,27,1,0.0,184,1,2,16,67,722,9,2,574,7,592,1615.0,May,2022,False,crime-statistics-2022.pdf
Barishal Range,0.0,5,11,7,0.0,116,1,1,9,21,441,2,0,246,0,248,860.0,May,2022,False,crime-statistics-2022.pdf
Rajshahi Range,1.0,12,38,4,0.0,251,1,6,7,58,773,26,1,1121,63,1211,2362.0,May,2022,False,crime-statistics-2022.pdf
Rangpur Range,2.0,2,21,3,0.0,241,3,2,17,56,751,3,0,380,9,392,1490.0,May,2022,False,crime-statistics-2022.pdf
Railway Range,0.0,2,1,0,0.0,3,0,0,0,15,15,0,0,20,1,21,57.0,May,2022,False,crime-statistics-2022.pdf
Total,24.0,85,276,96,1.0,2001,32,44,226,689,7114,147,16,6876,161,7200,17788.0,May,2022,False,crime-statistics-2022.pdf
DMP,3.0,10,21,7,0.0,199,4,15,63,131,684,6,5,1342,23,1376,2513.0,June,2022,False,crime-statistics-2022.pdf
CMP,0.0,11,7,12,0.0,66,2,1,11,29,152,15,0,142,3,160,451.0,June,2022,False,crime-statistics-2022.pdf
KMP,1.0,0,2,1,0.0,13,0,1,2,2,32,2,1,87,0,90,144.0,June,2022,False,crime-statistics-2022.pdf
RMP,0.0,2,3,0,0.0,13,1,1,3,16,49,0,0,209,2,211,299.0,June,2022,False,crime-statistics-2022.pdf
BMP,0.0,1,1,1,0.0,17,0,0,2,9,42,0,0,77,0,77,150.0,June,2022,False,crime-statistics-2022.pdf
SMP,0.0,0,1,4,0.0,26,0,2,2,9,71,0,0,68,5,73,188.0,June,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,0,0,0.0,7,0,0,0,20,59,0,0,27,0,27,113.0,June,2022,False,crime-statistics-2022.pdf
GMP,1.0,4,3,1,0.0,47,3,1,1,13,72,1,0,68,0,69,215.0,June,2022,False,crime-statistics-2022.pdf
Dhaka Range,16.0,20,60,30,0.0,323,11,10,48,153,1096,20,2,838,0,860,2627.0,June,2022,False,crime-statistics-2022.pdf
Mymensingh Range,0.0,3,15,12,0.0,218,5,2,7,44,502,3,0,330,29,362,1170.0,June,2022,False,crime-statistics-2022.pdf
Chittagong Range,5.0,12,38,9,0.0,237,7,6,34,103,903,38,1,1172,20,1231,2584.0,June,2022,False,crime-statistics-2022.pdf
Sylhet Range,3.0,3,10,3,0.0,87,0,1,5,36,312,3,1,151,12,167,627.0,June,2022,False,crime-statistics-2022.pdf
Khulna Range,7.0,4,23,5,0.0,184,3,6,14,74,768,9,1,672,14,696,1784.0,June,2022,False,crime-statistics-2022.pdf
Barishal Range,4.0,3,12,5,0.0,121,0,6,12,27,355,1,0,221,0,222,767.0,June,2022,False,crime-statistics-2022.pdf
Rajshahi Range,0.0,6,25,5,0.0,259,4,4,12,83,685,28,2,1084,70,1184,2267.0,June,2022,False,crime-statistics-2022.pdf
Rangpur Range,0.0,5,24,4,0.0,219,5,0,11,84,694,2,0,340,6,348,1394.0,June,2022,False,crime-statistics-2022.pdf
Railway Range,0.0,1,4,0,0.0,3,0,0,0,9,11,0,0,39,2,41,69.0,June,2022,False,crime-statistics-2022.pdf
Total,40.0,85,249,98,0.0,2039,45,56,227,842,6487,128,13,6867,186,7194,17362.0,June,2022,False,crime-statistics-2022.pdf
DMP,4.0,13,13,12,0.0,174,3,3,70,121,621,5,5,1190,5,1205,2239.0,July,2022,False,crime-statistics-2022.pdf
CMP,0.0,6,7,12,0.0,51,4,0,10,28,171,11,0,137,5,153,442.0,July,2022,False,crime-statistics-2022.pdf
KMP,0.0,0,2,1,0.0,14,1,0,6,6,20,0,0,71,0,71,121.0,July,2022,False,crime-statistics-2022.pdf
RMP,0.0,2,4,0,0.0,9,1,0,5,3,46,2,0,215,0,217,287.0,July,2022,False,crime-statistics-2022.pdf
BMP,0.0,1,2,1,0.0,17,0,0,4,3,32,1,0,82,0,83,143.0,July,2022,False,crime-statistics-2022.pdf
SMP,0.0,2,1,8,0.0,25,0,1,5,15,87,0,0,59,6,65,209.0,July,2022,False,crime-statistics-2022.pdf
RPMP,0.0,0,0,3,0.0,12,0,0,2,12,60,0,0,20,0,20,109.0,July,2022,False,crime-statistics-2022.pdf
